total_pkts,tcp_pkts,udp_pkts,other_pkts,unique_dports_count,syn_ratio,avg_pkt_size,duration_sec,bytes_per_sec,port_scan_score,small_syn_score,potential_flood,potential_scan,label
10.0,10.0,0.0,0.0,2.0,0.0,70.6,300.2242,2.35,0.2,0.0,0,0,attack
6.0,0.0,6.0,0.0,6.0,0.0,90.0,456.3964,1.18,1.0,0.0,0,0,normal
3.0,0.0,3.0,0.0,3.0,0.0,203.0,127.4261,4.78,1.0,0.0,0,0,normal
1.0,0.0,1.0,0.0,1.0,0.0,90.0,0.001,90000.0,1.0,0.0,0,0,attack
7.0,0.0,7.0,0.0,7.0,0.0,90.0,389.844,1.62,1.0,0.0,0,0,normal
11.997992170627095,0.0,12.000303842121381,0.0,11.99813215383932,0.0,219.50471166896452,1290.1064423644902,2.0435326563339835,1.0086732027855043,0.0,0,0,attack
6.0,0.0,6.0,0.0,6.0,0.0,150.67,3.2451,278.57,1.0,0.0,0,0,normal
5.022804395950469,4.989666574461249,0.0,0.0003122630358650275,1.018443332133677,0.0,70.59992177658266,0.11499498481520548,2877.9775479107434,0.21526949881981453,0.0012983151764201595,0,0,attack
17.982374975608664,18.00026260934111,0.01106623095543112,0.0,1.0068534745527962,0.0,1186.9586383479507,0.429298814465736,47992.91134509355,0.050265294952741346,0.003749854257053544,0,0,attack
4.0,0.0,4.0,0.0,4.0,0.0,90.0,323.0847,1.11,1.0,0.0,0,0,normal
5.0,5.0,0.0,0.0,1.0,0.0,91.8,0.1832,2505.91,0.2,0.0,0,0,attack
5.0,0.0,5.0,0.0,5.0,0.0,90.0,392.108,1.15,1.0,0.0,0,0,normal
188.0,183.0,0.0,5.0,23.0,0.0,140.22,117.0037,225.31,0.1223,0.0,0,0,normal
7.0,0.0,7.0,0.0,7.0,0.0,90.0,392.3098,1.61,1.0,0.0,0,0,normal
214.0,200.0,9.0,5.0,3.0,0.12,366.93,131.464,597.3,0.014,3.2703,0,0,normal
1.0,0.0,1.0,0.0,1.0,0.0,90.0,0.001,90000.0,1.0,0.0,0,0,attack
6.0,0.0,6.0,0.0,6.0,0.0,90.0,328.8819,1.64,1.0,0.0,0,0,normal
18.0,18.0,0.0,0.0,1.0,0.0,1186.94,0.4452,47992.91,0.0556,0.0,0,0,attack
192.0,178.0,14.0,0.0,5.0,0.0393,72.08,1306.6423,10.59,0.026,5.4556,0,0,attack
7.0,0.0,7.0,0.0,7.0,0.0,90.0,391.9633,1.61,1.0,0.0,0,0,normal
1.0,0.0,0.0,1.0,0.0,0.0,98.0,0.001,98000.0,0.0,0.0,0,0,attack
4.0,0.0,4.0,0.0,4.0,0.0,90.0,325.1953,1.11,1.0,0.0,0,0,normal
5.0,0.0,5.0,0.0,5.0,0.0,90.0,387.5077,1.16,1.0,0.0,0,0,normal
17.986156086131324,17.99667564963909,0.0,0.0,1.0208306212380804,0.0024257454412271477,1186.9327064167371,0.4423186493627495,47992.934496479975,0.06973048198492533,0.0,0,0,attack
6.0,0.0,6.0,0.0,6.0,0.0,90.0,389.1318,1.39,1.0,0.0,0,0,normal
532.0,532.0,0.0,0.0,1.0,0.0,3567.25,0.3746,5065888.18,0.0019,0.0,0,0,attack
9522774.0,225407.0,8779800.0,517567.0,65535.0,1.0,60.0,1428.683,399925.4,0.0069,166.6629,1,1,attack
60.0,20.0,0.0,40.0,1.0,1.0,90.0,134.8922,40.03,0.0167,111.1111,0,0,normal
5.0,0.0,5.0,0.0,5.0,0.0,162.0,292.092,2.77,1.0,0.0,0,0,attack
12.0,0.0,12.0,0.0,12.0,0.0,219.5,1290.1066,2.04,1.0,0.0,0,0,attack
5.0,5.0,0.0,0.0,1.0,0.0,158.6,0.2091,3792.66,0.2,0.0,0,0,normal
5.0,5.0,0.0,0.0,1.0,0.0,70.6,0.1227,2877.97,0.2,0.0,0,0,attack
518410.9933089701,165.0070658814586,0.0007066219344885596,518245.99486900837,151.00497427157208,0.0,42.03416387387983,1325.3208945624922,16444.626191808315,0.010105717441852222,0.0,0,1,attack
191.9939212402675,177.97451348393818,13.980656538678952,0.0,4.980594825335791,0.03621416489973078,72.06743085849686,1306.643418959997,10.587611680897663,0.013680559365573197,5.454461085553715,0,0,attack
8.0,0.0,8.0,0.0,8.0,0.0,90.0,462.3038,1.56,1.0,0.0,0,0,normal
4.9927556390624,5.010365889264452,0.0,0.0,0.9893554202898742,0.0,91.78823881276668,0.1860169435072845,2407.6910268495453,0.18707811315560818,0.00030961328473131413,0,0,attack
7.0,0.0,7.0,0.0,7.0,0.0,90.0,393.402,1.6,1.0,0.0,0,0,normal
5.0,5.0,0.0,0.0,1.0,0.0,91.8,0.1793,2560.21,0.2,0.0,0,0,normal
163.0,30.0,103.0,30.0,4.0,0.7333,89.0,462.3039,31.38,0.0245,82.397,0,0,normal
5.0,5.0,0.0,0.0,1.0,0.0,70.6,0.117,3016.65,0.2,0.0,0,0,normal
518411.0,165.0,0.0,518246.0,151.0,0.0,42.04,1325.3254,16444.64,0.0003,0.0,0,1,attack
5.0,5.0,0.0,0.0,1.0,0.0,91.8,0.1906,2407.7,0.2,0.0,0,0,attack
