src_ip,total_pkts,tcp_pkts,udp_pkts,other_pkts,unique_dports_count,syn_ratio,avg_pkt_size,duration_sec,bytes_per_sec,port_scan_score,small_syn_score,potential_flood,potential_scan,label
192.168.10.10,9522774,225407,8779800,517567,65535,1.0,60.0,1428.683,399925.4,0.0069,166.6629,1,1,attack
8.8.8.8,1,0,0,1,0,0.0,98.0,0.001,98000.0,0.0,0.0,0,0,attack
200.48.225.146,5,0,5,0,5,0.0,162.0,292.092,2.77,1.0,0.0,0,0,attack
192.168.10.1,518411,165,0,518246,151,0.0,42.04,1325.3254,16444.64,0.0003,0.0,0,1,attack
192.168.10.20,192,178,14,0,5,0.0393,72.08,1306.6423,10.59,0.026,5.4556,0,0,attack
185.125.190.58,1,0,1,0,1,0.0,90.0,0.001,90000.0,1.0,0.0,0,0,attack
1.1.1.1,12,0,12,0,12,0.0,219.5,1290.1066,2.04,1.0,0.0,0,0,attack
91.189.91.98,5,5,0,0,1,0.0,70.6,0.1227,2877.97,0.2,0.0,0,0,attack
91.189.91.96,10,10,0,0,2,0.0,70.6,300.2242,2.35,0.2,0.0,0,0,attack
143.107.229.211,1,0,1,0,1,0.0,90.0,0.001,90000.0,1.0,0.0,0,0,attack
185.125.190.100,5,5,0,0,1,0.0,91.8,0.1906,2407.7,0.2,0.0,0,0,attack
185.125.190.99,5,5,0,0,1,0.0,91.8,0.1832,2505.91,0.2,0.0,0,0,attack
151.101.2.49,18,18,0,0,1,0.0,1186.94,0.4452,47992.91,0.0556,0.0,0,0,attack
151.101.194.49,532,532,0,0,1,0.0,3567.25,0.3746,5065888.18,0.0019,0.0,0,0,attack
