src_ip,total_pkts,tcp_pkts,udp_pkts,other_pkts,unique_dports_count,syn_ratio,avg_pkt_size,duration_sec,bytes_per_sec,port_scan_score,small_syn_score,potential_flood,potential_scan,label
192.168.10.10,60,20,0,40,1,1.0,90.0,134.8922,40.03,0.0167,111.1111,0,0,normal
192.168.10.1,386,273,0,113,127,0.0,197.11,369.4696,205.93,0.329,0.0,0,1,normal
192.168.10.30,163,30,103,30,4,0.7333,89.0,462.3039,31.38,0.0245,82.397,0,0,normal
200.25.72.82,8,0,8,0,8,0.0,90.0,462.3038,1.56,1.0,0.0,0,0,normal
192.168.10.20,386,298,39,49,4,0.2953,117.17,386.2095,117.1,0.0104,25.2032,0,0,normal
172.233.29.160,6,0,6,0,6,0.0,90.0,456.3964,1.18,1.0,0.0,0,0,normal
8.8.8.8,45,0,42,3,42,0.0,162.56,372.5401,19.64,0.9333,0.0,0,0,normal
91.189.91.97,5,5,0,0,1,0.0,70.6,0.117,3016.65,0.2,0.0,0,0,normal
66.231.64.28,7,0,7,0,7,0.0,90.0,392.3098,1.61,1.0,0.0,0,0,normal
200.25.72.83,7,0,7,0,7,0.0,90.0,391.9532,1.61,1.0,0.0,0,0,normal
213.159.66.7,6,0,6,0,6,0.0,90.0,391.9442,1.38,1.0,0.0,0,0,normal
200.13.142.5,7,0,7,0,7,0.0,90.0,391.9633,1.61,1.0,0.0,0,0,normal
168.181.126.28,4,0,4,0,4,0.0,90.0,325.1953,1.11,1.0,0.0,0,0,normal
200.192.232.8,7,0,7,0,7,0.0,90.0,391.3073,1.61,1.0,0.0,0,0,normal
200.160.7.193,7,0,7,0,7,0.0,90.0,389.844,1.62,1.0,0.0,0,0,normal
143.107.229.210,5,0,5,0,5,0.0,90.0,387.5077,1.16,1.0,0.0,0,0,normal
200.189.40.8,4,0,4,0,4,0.0,90.0,323.0847,1.11,1.0,0.0,0,0,normal
162.159.200.123,7,0,7,0,7,0.0,90.0,392.1053,1.61,1.0,0.0,0,0,normal
200.160.7.196,5,0,5,0,5,0.0,90.0,392.108,1.15,1.0,0.0,0,0,normal
143.107.229.211,6,0,6,0,6,0.0,90.0,389.1318,1.39,1.0,0.0,0,0,normal
162.159.200.1,6,0,6,0,6,0.0,90.0,328.8819,1.64,1.0,0.0,0,0,normal
168.181.126.108,7,0,7,0,7,0.0,90.0,393.402,1.6,1.0,0.0,0,0,normal
185.125.190.99,5,5,0,0,1,0.0,91.8,0.1791,2562.9,0.2,0.0,0,0,normal
1.1.1.1,3,0,0,3,0,0.0,98.0,2.0183,145.67,0.0,0.0,0,0,normal
185.125.190.100,5,5,0,0,1,0.0,91.8,0.1793,2560.21,0.2,0.0,0,0,normal
